nama_fasilitas ,penanggung_jawab,bulan,jumlah
Stadion Sepak Bola V I J,Jakarta Pusat,03,1720
Kolam Renang Gelanggang Remaja Jakarta Barat,Jakarta Barat,03,5201
Gedung Auditorium Jakarta Barat,Jakarta Barat,03,3727
Gedung Olahraga Jakarta Barat,Jakarta Barat,03,5628
GR Kecamatan Kalideres,Jakarta Barat,03,2524
GR Kecamatan Kembangan,Jakarta Barat,03,2390
GR Kecamatan Kebon Jeruk,Jakarta Barat,03,2342
GR Kecamatan Tambora,Jakarta Barat,03,2454
GR Kecamatan Grogol Petamburan,Jakarta Barat,03,17915
GR Kecamatan Palmerah,Jakarta Barat,03,2240
Gedung Olahraga,Jakarta Selatan,03,4753
Gedung Pertunjukan,Jakarta Selatan,03,0
Kolam Renang,Jakarta Selatan,03,2448
Gedung Bridge,Jakarta Selatan,03,1887
Stadion Bola PSPI Tebet,Jakarta Selatan,03,6547
Lapangan Tenis,Jakarta Selatan,03,1784
GR Kecamatan Tebet,Jakarta Selatan,03,2096
GR Kecamatan Kebayoran Lama,Jakarta Selatan,03,1019
GR Kecamatan Kebayoran Baru,Jakarta Selatan,03,2015
GR Kecamatan Pesanggrahan,Jakarta Selatan,03,2335
GR Kecamatan Mampang Prapatan,Jakarta Selatan,03,1263
GR Kecamatan Jagakarsa,Jakarta Selatan,03,373
GR Kecamatan Pasar Minggu,Jakarta Selatan,03,2873
Wisma Atlet,Jakarta Selatan,03,72
Gedung Olahraga,Jakarta Utara,03,189193
GR Kecamatan Tanjung Priok,Jakarta Utara,03,892
GR Kecamatan Cilincing,Jakarta Utara,03,148548
GR Kecamatan Kelapa Gading,Jakarta Utara,03,2519
Kolam Renang,Jakarta Utara,03,15404
Gedung Auditorium,Jakarta Utara,03,7627
GR Kecamatan Koja,Jakarta Utara,03,6587
Area Halaman GRJU,Jakarta Utara,03,39721
Gedung Auditorium,Jakarta Timur,03,7600
Gedung Olahraga,Jakarta Timur,03,475
Kolam Renang,Jakarta Timur,03,2771
GR Kecamatan Jatinegara,Jakarta Timur,03,8858
GR Kecamatan Pulogadung,Jakarta Timur,03,8580
GR Kecamatan Pasar Rebo,Jakarta Timur,03,2437
GR Kecamatan Cipayung,Jakarta Timur,03,1344
GR Kecamatan Kramat Jati,Jakarta Timur,03,3908
GR Kecamatan Makasar,Jakarta Timur,03,9075
GR Kecamatan Duren Sawit,Jakarta Timur,03,1211
GR Kecamatan Cakung,Jakarta Timur,03,3160
GR Kecamatan Matraman,Jakarta Timur,03,0
GR Kecamatan Ciracas,Jakarta Timur,03,4295
Sekretariat,Jakarta Timur,03,833
GOR PKP,Jakarta Timur,03,1305
Lapangan Terbuka Karet Tengsin,Suku Dinas Jakarta Pusat,03,1295
Lapangan Terbuka Pors Serdang,Suku Dinas Jakarta Pusat,03,2548
Lapangan Terbuka Pejompongan,Suku Dinas Jakarta Pusat,03,1717
Lapangan Bulutangkis Komp,Suku Dinas Jakarta Barat,03,910
Lapangan Bola Voli Pedongkelan,Suku Dinas Jakarta Barat,03,1334
Lapangan Bulutangkis Rawa Melati,Suku Dinas Jakarta Barat,03,953
Lapangan Bola Voli Kamp,Suku Dinas Jakarta Barat,03,822
Lapangan Basket Cengkareng Timur,Suku Dinas Jakarta Barat,03,1355
Lapangan Sepakbola Pegadungan,Suku Dinas Jakarta Barat,03,3480
Lapangan Sepakbola Semanan,Suku Dinas Jakarta Barat,03,1450
Lapangan Sepakbola Srengseng,Suku Dinas Jakarta Barat,03,1278
Lapangan Sepakbola Kedoya,Suku Dinas Jakarta Barat,03,31
Lapangan Sepakbola Kebon Jeruk,Suku Dinas Jakarta Barat,03,330
Lapangan Sepakbola Persima,Suku Dinas Jakarta Barat,03,8212
Lapangan Sepakbola Wijaya Kusuma,Suku Dinas Jakarta Barat,03,7003
Lapangan Terbuka Jatipulo Palmerah,Suku Dinas Jakarta Barat,03,2607
Gedung Bulutangkis GOR Cendrawasih,Suku Dinas Jakarta Barat,03,1825
Gedung Asrama Atlet GOR Cendrawasih,Suku Dinas Jakarta Barat,03,200
Gedung Serbaguna GOR Cendrawasih,Suku Dinas Jakarta Barat,03,3476
Lapangan Tenis GOR Cendrawasih,Suku Dinas Jakarta Barat,03,423
Lapangan Tenis/Futsal GOR Cendrawasih,Suku Dinas Jakarta Barat,03,728
Stadion Terbuka Taman Sari,Suku Dinas Jakarta Barat,03,1130
Stadion Sepakbola GOR Cendrawasih,Suku Dinas Jakarta Barat,03,16545
Lapangan Basket GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,0
Lapangan Bulutangkis GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,1282
Lapangan Voli GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,2867
Fitness Center GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,2245
Kolam Renang GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,12258
Stadion GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,31308
Lapangan Sepakbola Dalam GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,11470
Lapangan Sepakbola Luar GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,2160
Plaza GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,03,0
Lapangan Sepakbola Blok S Kebayoran Baru,Suku Dinas Jakarta Selatan,03,5775
Lapangan Sepakbola Ahmad Yani Kebayoran Lama,Suku Dinas Jakarta Selatan,03,4765
Lapangan Sepakbola Kebagusan Pasar Minggu,Suku Dinas Jakarta Selatan,03,2743
Lapangan Sepakbola Deppen Pesanggrahan,Suku Dinas Jakarta Selatan,03,2911
Lapangan Sepakbola Sukatani Jagakarsa,Suku Dinas Jakarta Selatan,03,2480
Lapangan Sepakbola Jagakarsa,Suku Dinas Jakarta Selatan,03,3941
Gedung Serbaguna Semper Barat,Suku Dinas Jakarta Utara,03,2141
Lapangan Terbuka Muara Angke,Suku Dinas Jakarta Utara,03,1856
Lapangan Terbuka Rorotan,Suku Dinas Jakarta Utara,03,1060
Lapangan Terbuka Kalibaru,Suku Dinas Jakarta Utara,03,1259
Area Jogging Track Gelora Sunter,Suku Dinas Jakarta Utara,03,10500
Area Fitness Outdoor Gelora Sunter,Suku Dinas Jakarta Utara,03,1240
Area Parkir Depan Kolam Renang Sunter (Kegiatan SKJ),Suku Dinas Jakarta Utara,03,5650
Area Fasilitas Olahraga Rawa Badak,Suku Dinas Jakarta Utara,03,705
Kolam Renang Sunter,Suku Dinas Jakarta Utara,03,7306
GOR Bulutangkis,Suku Dinas Jakarta Utara,03,3399
Gedung Serbaguna,Suku Dinas Jakarta Utara,03,5298
Stadion Sepakbola Sunter,Suku Dinas Jakarta Utara,03,860
Stadion Sepakbola Tugu,Suku Dinas Jakarta Utara,03,1147
Kolam Renang Rawa Badak,Suku Dinas Jakarta Utara,03,3988
Stadion Rawa Badak,Suku Dinas Jakarta Utara,03,916
Lapangan Tenis Rawa Badak,Suku Dinas Jakarta Utara,03,416
Gedung Judo Kelapa Gading,Suku Dinas Jakarta Utara,03,883
Fasilitas Olahraga Dayung Bahtera Jaya,Suku Dinas Jakarta Utara,03,1302
Fasilitas Olahraga Selancar Angin Bahtera Jaya,Suku Dinas Jakarta Utara,03,240
Fasilitas Olahraga Layar Bahtera Jaya,Suku Dinas Jakarta Utara,03,96
Stadion Kamal Muara,Suku Dinas Jakarta Utara,03,720
GOR Kamal Muara,Suku Dinas Jakarta Utara,03,850
GOR Bahtera Jaya,Suku Dinas Jakarta Utara,03,800
Fasilitas Umum Milik Masyarakat,Suku Dinas Jakarta Utara,03,65137
Lapangan Sepakbola Setu,Suku Dinas Jakarta Timur,03,1140
Lapangan Sepakbola Klender,Suku Dinas Jakarta Timur,03,6000
Lapangan Sepakbola Cakung,Suku Dinas Jakarta Timur,03,6756
Lapangan Sepakbola Kramat Jati,Suku Dinas Jakarta Timur,03,0
Lapangan Sepakbola Gedong,Suku Dinas Jakarta Timur,03,2734
Lapangan Sepakbola Cijantung,Suku Dinas Jakarta Timur,03,1055
Lapangan Sepakbola Kelapa Dua Wetan,Suku Dinas Jakarta Timur,03,4670
Lapangan Sepakbola Cibubur,Suku Dinas Jakarta Timur,03,3901
Lapangan Sepakbola Lubang Buaya,Suku Dinas Jakarta Timur,03,3269
Lapangan Sepakbola Ceger,Suku Dinas Jakarta Timur,03,3700
GOR Perumnas Klender,Suku Dinas Jakarta Timur,03,3445
Tenis Indoor GOR Rawamangun,Suku Dinas Jakarta Timur,03,0
Tenis Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,03,0
Basket Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,03,0
Kolam Renang GOR Rawamangun,Suku Dinas Jakarta Timur,03,0
Stadion Atletik GOR Rawamangun,Suku Dinas Jakarta Timur,03,9463
Gedung Bulu Tangkis GOR Rawamangun,Suku Dinas Jakarta Timur,03,346
Gedung Squash GOR Rawamangun,Suku Dinas Jakarta Timur,03,355
Gedung Futsal GOR Rawamangun,Suku Dinas Jakarta Timur,03,1906
Lapangan Baseball GOR Rawamangun,Suku Dinas Jakarta Timur,03,130
Gedung KNPI GOR Rawamangun,Suku Dinas Jakarta Timur,03,750
Stadion Bola Pulo Mas,Suku Dinas Jakarta Timur,03,0
Lapangan Panahan Pulo Mas,Suku Dinas Jakarta Timur,03,194
Gedung Voli Pondok Bambu,Suku Dinas Jakarta Timur,03,4476
Stadion Bola Pondok Bambu,Suku Dinas Jakarta Timur,03,3743
Tenis Outdoor Pondok Bambu,Suku Dinas Jakarta Timur,03,225
Gedung Senam Radin Inten,Suku Dinas Jakarta Timur,03,280
Wisma Atlet Radin Inten,Suku Dinas Jakarta Timur,03,66
Gedung Serba Guna Radin Inten,Suku Dinas Jakarta Timur,03,140
Stadion BMX,Suku Dinas Jakarta Timur,03,0
GOR Ciracas,Suku Dinas Jakarta Timur,03,0
Stadion Sepakbola GOR Ciracas,Suku Dinas Jakarta Timur,03,1875
Kolam Renang GOR Ciracas,Suku Dinas Jakarta Timur,03,1660
Lapangan Terbuka GOR Ciracas,Suku Dinas Jakarta Timur,03,1225
Stadion Sepakbola Gongseng,Suku Dinas Jakarta Timur,03,230
 PPOP ,Pusat Pelatihan Olahraga Pelajar,03,81467
Sudin Jakarta Pusat,Hari Bebas Kendaraan Bermotor,03,400
Sudin Jakarta Utara,Hari Bebas Kendaraan Bermotor,03,0
Sudin Jakarta Barat,Hari Bebas Kendaraan Bermotor,03,0
Sudin Jakarta Selatan,Hari Bebas Kendaraan Bermotor,03,5200
Sudin Jakarta Timur,Hari Bebas Kendaraan Bermotor,03,500
Sudin Jakarta Pusat,RPTRA ,03,37737
Sudin Jakarta Utara,RPTRA ,03,0
Sudin Jakarta Barat,RPTRA ,03,0
Sudin Jakarta Selatan,RPTRA ,03,75981
Sudin Jakarta Timur,RPTRA ,03,0
Sudin Jakarta Pusat,RUSUN ,03,0
Sudin Jakarta Utara,RUSUN ,03,0
Sudin Jakarta Barat,RUSUN ,03,0
Sudin Jakarta Selatan,RUSUN ,03,0
Sudin Jakarta Timur,RUSUN ,03,0
Senam Kesegaran Jasmani - Gedung Dispora,DISPORA PROVINSI ,03,340
Senam Kesegaran Jasmani - Gedung Dinas Kehutanan,DISPORA PROVINSI ,03,340
Senam Kesegaran Jasmani - Gedung Dinas Perumahan,DISPORA PROVINSI ,03,340
Formi Jakarta Timur,DISPORA PROVINSI ,03,8160
Formi Jakarta Selatan,DISPORA PROVINSI ,03,22680
Formi Jakarta Utara,DISPORA PROVINSI ,03,27228
Formi Jakarta Barat,DISPORA PROVINSI ,03,21660
Formi Jakarta Pusat,DISPORA PROVINSI ,03,12030
NPC - Rawamangun,DISPORA PROVINSI ,03,0
NPC - Ragunan,DISPORA PROVINSI ,03,0
NPC - Paraswim,DISPORA PROVINSI ,03,0
HBKB Jln Sudirman,DISPORA PROVINSI ,03,400
Jumlah Masyarakat berolahraga,DISPORA PROVINSI ,03,3790
Suku Dinas Jakarta Pusat,Suku Dinas Jakarta Pusat,03,3050
Suku Dinas Jakarta Utara,Suku Dinas Jakarta Utara,03,0
Suku Dinas Jakarta Barat,Suku Dinas Jakarta Barat,03,0
Suku Dinas Jakarta Selatan,Suku Dinas Jakarta Selatan,03,3000
Suku Dinas Jakarta Timur,Suku Dinas Jakarta Timur,03,1520
Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,04,6750
Gedung Olahraga Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,04,50
Kolam Renang Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,04,957
Gedung Auditorium Kebon Jahe Tanah Abang,Jakarta Pusat,04,3930
Gelanggang Remaja Kecamatan Tanah Abang,Jakarta Pusat,04,5220
Gelanggang Remaja Kecamatan Kemayoran,Jakarta Pusat,04,1568
Gelanggang Remaja Kecamatan Sawah Besar,Jakarta Pusat,04,1305
Gelanggang Remaja Kecamatan Johar Baru,Jakarta Pusat,04,4374
Gelanggang Remaja Kecamatan Cempaka Putih,Jakarta Pusat,04,2326
Stadion Sepak Bola Banteng,Jakarta Pusat,04,105
Gedung Olahraga Tenis Meja,Jakarta Pusat,04,850
Kolam Renang Kebon Jahe Tanah Abang,Jakarta Pusat,04,1427
Gedung Olahraga Kemakmuran,Jakarta Pusat,04,1499
Stadion Sepak Bola V I J,Jakarta Pusat,04,1700
Kolam Renang Gelanggang Remaja Jakarta Barat,Jakarta Barat,04,6070
Gedung Auditorium Jakarta Barat,Jakarta Barat,04,4383
Gedung Olahraga Jakarta Barat,Jakarta Barat,04,4570
GR Kecamatan Kalideres,Jakarta Barat,04,2449
GR Kecamatan Kembangan,Jakarta Barat,04,2617
GR Kecamatan Kebon Jeruk,Jakarta Barat,04,2590
GR Kecamatan Tambora,Jakarta Barat,04,2485
GR Kecamatan Grogol Petamburan,Jakarta Barat,04,17306
GR Kecamatan Palmerah,Jakarta Barat,04,2458
Gedung Olahraga,Jakarta Selatan,04,5229
Gedung Pertunjukan,Jakarta Selatan,04,0
Kolam Renang,Jakarta Selatan,04,3651
Gedung Bridge,Jakarta Selatan,04,2007
Stadion Bola PSPI Tebet,Jakarta Selatan,04,7335
Lapangan Tenis,Jakarta Selatan,04,1963
GR Kecamatan Tebet,Jakarta Selatan,04,2306
GR Kecamatan Kebayoran Lama,Jakarta Selatan,04,1121
GR Kecamatan Kebayoran Baru,Jakarta Selatan,04,2217
GR Kecamatan Pesanggrahan,Jakarta Selatan,04,2569
GR Kecamatan Mampang Prapatan,Jakarta Selatan,04,1390
GR Kecamatan Jagakarsa,Jakarta Selatan,04,410
GR Kecamatan Pasar Minggu,Jakarta Selatan,04,3161
Wisma Atlet,Jakarta Selatan,04,76
Gedung Olahraga,Jakarta Utara,04,263610
GR Kecamatan Tanjung Priok,Jakarta Utara,04,278
GR Kecamatan Cilincing,Jakarta Utara,04,145864
GR Kecamatan Kelapa Gading,Jakarta Utara,04,2712
Kolam Renang,Jakarta Utara,04,15570
Gedung Auditorium,Jakarta Utara,04,8627
GR Kecamatan Koja,Jakarta Utara,04,7975
Area Halaman GRJU,Jakarta Utara,04,36049
Gedung Auditorium,Jakarta Timur,04,6320
Gedung Olahraga,Jakarta Timur,04,225
Kolam Renang,Jakarta Timur,04,3600
GR Kecamatan Jatinegara,Jakarta Timur,04,8097
GR Kecamatan Pulogadung,Jakarta Timur,04,9555
GR Kecamatan Pasar Rebo,Jakarta Timur,04,2208
GR Kecamatan Cipayung,Jakarta Timur,04,1581
GR Kecamatan Kramat Jati,Jakarta Timur,04,4094
GR Kecamatan Makasar,Jakarta Timur,04,3423
GR Kecamatan Duren Sawit,Jakarta Timur,04,1184
GR Kecamatan Cakung,Jakarta Timur,04,2258
GR Kecamatan Matraman,Jakarta Timur,04,0
GR Kecamatan Ciracas,Jakarta Timur,04,4710
Sekretariat,Jakarta Timur,04,889
GOR PKP,Jakarta Timur,04,3135
Lapangan Terbuka Karet Tengsin,Suku Dinas Jakarta Pusat,04,4628
Lapangan Terbuka Pors Serdang,Suku Dinas Jakarta Pusat,04,7178
Lapangan Terbuka Pejompongan,Suku Dinas Jakarta Pusat,04,6067
Lapangan Bulutangkis Komp,Suku Dinas Jakarta Barat,04,3306
Lapangan Bola Voli Pedongkelan,Suku Dinas Jakarta Barat,04,1417
Lapangan Bulutangkis Rawa Melati,Suku Dinas Jakarta Barat,04,431
Lapangan Bola Voli Kamp,Suku Dinas Jakarta Barat,04,386
Lapangan Basket Cengkareng Timur,Suku Dinas Jakarta Barat,04,1350
Lapangan Sepakbola Pegadungan,Suku Dinas Jakarta Barat,04,2793
Lapangan Sepakbola Semanan,Suku Dinas Jakarta Barat,04,7400
Lapangan Sepakbola Srengseng,Suku Dinas Jakarta Barat,04,870
Lapangan Sepakbola Kedoya,Suku Dinas Jakarta Barat,04,662
Lapangan Sepakbola Kebon Jeruk,Suku Dinas Jakarta Barat,04,730
Lapangan Sepakbola Persima,Suku Dinas Jakarta Barat,04,13396
Lapangan Sepakbola Wijaya Kusuma,Suku Dinas Jakarta Barat,04,7101
Lapangan Terbuka Jatipulo Palmerah,Suku Dinas Jakarta Barat,04,2677
Gedung Bulutangkis GOR Cendrawasih,Suku Dinas Jakarta Barat,04,2369
Gedung Asrama Atlet GOR Cendrawasih,Suku Dinas Jakarta Barat,04,150
Gedung Serbaguna GOR Cendrawasih,Suku Dinas Jakarta Barat,04,3382
Lapangan Tenis GOR Cendrawasih,Suku Dinas Jakarta Barat,04,357
Lapangan Tenis/Futsal GOR Cendrawasih,Suku Dinas Jakarta Barat,04,743
Stadion Terbuka Taman Sari,Suku Dinas Jakarta Barat,04,4060
Stadion Sepakbola GOR Cendrawasih,Suku Dinas Jakarta Barat,04,1210
Lapangan Basket GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,3550
Lapangan Bulutangkis GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,3965
Lapangan Voli GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,4073
Fitness Center GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,2103
Kolam Renang GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,12140
Stadion GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,28116
Lapangan Sepakbola Dalam GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,11980
Lapangan Sepakbola Luar GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,2410
Plaza GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,04,3345
Lapangan Sepakbola Blok S Kebayoran Baru,Suku Dinas Jakarta Selatan,04,19951
Lapangan Sepakbola Ahmad Yani Kebayoran Lama,Suku Dinas Jakarta Selatan,04,20230
Lapangan Sepakbola Kebagusan Pasar Minggu,Suku Dinas Jakarta Selatan,04,2984
Lapangan Sepakbola Deppen Pesanggrahan,Suku Dinas Jakarta Selatan,04,2885
Lapangan Sepakbola Sukatani Jagakarsa,Suku Dinas Jakarta Selatan,04,1597
Lapangan Sepakbola Jagakarsa,Suku Dinas Jakarta Selatan,04,8250
Gedung Serbaguna Semper Barat,Suku Dinas Jakarta Utara,04,2300
Lapangan Terbuka Muara Angke,Suku Dinas Jakarta Utara,04,1856
Lapangan Terbuka Rorotan,Suku Dinas Jakarta Utara,04,1335
Lapangan Terbuka Kalibaru,Suku Dinas Jakarta Utara,04,1780
Area Jogging Track Gelora Sunter,Suku Dinas Jakarta Utara,04,3375
Area Fitness Outdoor Gelora Sunter,Suku Dinas Jakarta Utara,04,1388
Area Parkir Depan Kolam Renang Sunter (Kegiatan SKJ),Suku Dinas Jakarta Utara,04,1111
Area Fasilitas Olahraga Rawa Badak,Suku Dinas Jakarta Utara,04,7207
Kolam Renang Sunter,Suku Dinas Jakarta Utara,04,2863
GOR Bulutangkis,Suku Dinas Jakarta Utara,04,6019
Gedung Serbaguna,Suku Dinas Jakarta Utara,04,422
Stadion Sepakbola Sunter,Suku Dinas Jakarta Utara,04,1066
Stadion Sepakbola Tugu,Suku Dinas Jakarta Utara,04,6484
Kolam Renang Rawa Badak,Suku Dinas Jakarta Utara,04,3568
Stadion Rawa Badak,Suku Dinas Jakarta Utara,04,668
Lapangan Tenis Rawa Badak,Suku Dinas Jakarta Utara,04,796
Gedung Judo Kelapa Gading,Suku Dinas Jakarta Utara,04,1558
Fasilitas Olahraga Dayung Bahtera Jaya,Suku Dinas Jakarta Utara,04,1302
Fasilitas Olahraga Selancar Angin Bahtera Jaya,Suku Dinas Jakarta Utara,04,240
Fasilitas Olahraga Layar Bahtera Jaya,Suku Dinas Jakarta Utara,04,96
Stadion Kamal Muara,Suku Dinas Jakarta Utara,04,1550
GOR Kamal Muara,Suku Dinas Jakarta Utara,04,1550
GOR Bahtera Jaya,Suku Dinas Jakarta Utara,04,1200
Fasilitas Umum Milik Masyarakat,Suku Dinas Jakarta Utara,04,65137
Lapangan Sepakbola Setu,Suku Dinas Jakarta Timur,04,1715
Lapangan Sepakbola Klender,Suku Dinas Jakarta Timur,04,4295
Lapangan Sepakbola Cakung,Suku Dinas Jakarta Timur,04,6575
Lapangan Sepakbola Kramat Jati,Suku Dinas Jakarta Timur,04,0
Lapangan Sepakbola Gedong,Suku Dinas Jakarta Timur,04,2857
Lapangan Sepakbola Cijantung,Suku Dinas Jakarta Timur,04,5408
Lapangan Sepakbola Kelapa Dua Wetan,Suku Dinas Jakarta Timur,04,4766
Lapangan Sepakbola Cibubur,Suku Dinas Jakarta Timur,04,4137
Lapangan Sepakbola Lubang Buaya,Suku Dinas Jakarta Timur,04,3545
Lapangan Sepakbola Ceger,Suku Dinas Jakarta Timur,04,3436
GOR Perumnas Klender,Suku Dinas Jakarta Timur,04,5170
Tenis Indoor GOR Rawamangun,Suku Dinas Jakarta Timur,04,0
Tenis Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,04,0
Basket Outdoor GOR Rawamangun,Suku Dinas Jakarta Timur,04,0
Kolam Renang GOR Rawamangun,Suku Dinas Jakarta Timur,04,0
Stadion Atletik GOR Rawamangun,Suku Dinas Jakarta Timur,04,7800
Gedung Bulu Tangkis GOR Rawamangun,Suku Dinas Jakarta Timur,04,391
Gedung Squash GOR Rawamangun,Suku Dinas Jakarta Timur,04,360
Gedung Futsal GOR Rawamangun,Suku Dinas Jakarta Timur,04,0
Lapangan Baseball GOR Rawamangun,Suku Dinas Jakarta Timur,04,0
Gedung KNPI GOR Rawamangun,Suku Dinas Jakarta Timur,04,1200
Stadion Bola Pulo Mas,Suku Dinas Jakarta Timur,04,0
Lapangan Panahan Pulo Mas,Suku Dinas Jakarta Timur,04,1020
Gedung Voli Pondok Bambu,Suku Dinas Jakarta Timur,04,4694
Stadion Bola Pondok Bambu,Suku Dinas Jakarta Timur,04,3935
Tenis Outdoor Pondok Bambu,Suku Dinas Jakarta Timur,04,230
Gedung Senam Radin Inten,Suku Dinas Jakarta Timur,04,350
Wisma Atlet Radin Inten,Suku Dinas Jakarta Timur,04,200
Gedung Serba Guna Radin Inten,Suku Dinas Jakarta Timur,04,100
Stadion BMX,Suku Dinas Jakarta Timur,04,0
GOR Ciracas,Suku Dinas Jakarta Timur,04,0
Stadion Sepakbola GOR Ciracas,Suku Dinas Jakarta Timur,04,1850
Kolam Renang GOR Ciracas,Suku Dinas Jakarta Timur,04,1800
Lapangan Terbuka GOR Ciracas,Suku Dinas Jakarta Timur,04,1150
Stadion Sepakbola Gongseng,Suku Dinas Jakarta Timur,04,240
 PPOP ,Pusat Pelatihan Olahraga Pelajar,04,0
Sudin Jakarta Pusat,Hari Bebas Kendaraan Bermotor,04,1000
Sudin Jakarta Utara,Hari Bebas Kendaraan Bermotor,04,0
Sudin Jakarta Barat,Hari Bebas Kendaraan Bermotor,04,0
Sudin Jakarta Selatan,Hari Bebas Kendaraan Bermotor,04,4350
Sudin Jakarta Timur,Hari Bebas Kendaraan Bermotor,04,0
Sudin Jakarta Pusat,RPTRA ,04,39467
Sudin Jakarta Utara,RPTRA ,04,0
Sudin Jakarta Barat,RPTRA ,04,6073
Sudin Jakarta Selatan,RPTRA ,04,64703
Sudin Jakarta Timur,RPTRA ,04,0
Sudin Jakarta Pusat,RUSUN ,04,0
Sudin Jakarta Utara,RUSUN ,04,0
Sudin Jakarta Barat,RUSUN ,04,0
Sudin Jakarta Selatan,RUSUN ,04,0
Sudin Jakarta Timur,RUSUN ,04,0
Senam Kesegaran Jasmani - Gedung Dispora,DISPORA PROVINSI ,04,340
Senam Kesegaran Jasmani - Gedung Dinas Kehutanan,DISPORA PROVINSI ,04,340
Senam Kesegaran Jasmani - Gedung Dinas Perumahan,DISPORA PROVINSI ,04,340
Formi Jakarta Timur,DISPORA PROVINSI ,04,21660
Formi Jakarta Selatan,DISPORA PROVINSI ,04,22680
Formi Jakarta Utara,DISPORA PROVINSI ,04,25548
Formi Jakarta Barat,DISPORA PROVINSI ,04,26560
Formi Jakarta Pusat,DISPORA PROVINSI ,04,12030
NPC - Rawamangun,DISPORA PROVINSI ,04,0
NPC - Ragunan,DISPORA PROVINSI ,04,0
NPC - Paraswim,DISPORA PROVINSI ,04,0
HBKB Jln Sudirman,DISPORA PROVINSI ,04,900
Jumlah Masyarakat berolahraga,DISPORA PROVINSI ,04,1060
Suku Dinas Jakarta Pusat,Suku Dinas Jakarta Pusat,04,1790
Suku Dinas Jakarta Utara,Suku Dinas Jakarta Utara,04,0
Suku Dinas Jakarta Barat,Suku Dinas Jakarta Barat,04,17239
Suku Dinas Jakarta Selatan,Suku Dinas Jakarta Selatan,04,2500
Suku Dinas Jakarta Timur,Suku Dinas Jakarta Timur,04,2868
Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,05,4500
Gedung Olahraga Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,05,10
Kolam Renang Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,05,475
Gedung Auditorium Kebon Jahe Tanah Abang,Jakarta Pusat,05,920
Gelanggang Remaja Kecamatan Tanah Abang,Jakarta Pusat,05,2610
Gelanggang Remaja Kecamatan Kemayoran,Jakarta Pusat,05,838
Gelanggang Remaja Kecamatan Sawah Besar,Jakarta Pusat,05,705
Gelanggang Remaja Kecamatan Johar Baru,Jakarta Pusat,05,1378
Gelanggang Remaja Kecamatan Cempaka Putih,Jakarta Pusat,05,2146
Stadion Sepak Bola Banteng,Jakarta Pusat,05,20
Gedung Olahraga Tenis Meja,Jakarta Pusat,05,425
Kolam Renang Kebon Jahe Tanah Abang,Jakarta Pusat,05,624
Gedung Olahraga Kemakmuran,Jakarta Pusat,05,821
Stadion Sepak Bola V I J,Jakarta Pusat,05,850
Kolam Renang Gelanggang Remaja Jakarta Barat,Jakarta Barat,05,3494
Gedung Auditorium Jakarta Barat,Jakarta Barat,05,4678
Gedung Olahraga Jakarta Barat,Jakarta Barat,05,4760
GR Kecamatan Kalideres,Jakarta Barat,05,1307
GR Kecamatan Kembangan,Jakarta Barat,05,1765
GR Kecamatan Kebon Jeruk,Jakarta Barat,05,1485
GR Kecamatan Tambora,Jakarta Barat,05,1665
GR Kecamatan Grogol Petamburan,Jakarta Barat,05,8895
GR Kecamatan Palmerah,Jakarta Barat,05,1025
Gedung Olahraga,Jakarta Selatan,05,3685
Gedung Pertunjukan,Jakarta Selatan,05,0
Kolam Renang,Jakarta Selatan,05,1842
Gedung Bridge,Jakarta Selatan,05,1505
Stadion Bola PSPI Tebet,Jakarta Selatan,05,5502
Lapangan Tenis,Jakarta Selatan,05,1472
GR Kecamatan Tebet,Jakarta Selatan,05,1730
GR Kecamatan Kebayoran Lama,Jakarta Selatan,05,841
